Unnamed: 0,Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
0,FSSTL 177,"Area 19, Sha Tau Kok Road, Fanling",Commercial / Residential,0.8895 ha,5/9.5,50.0,April 1999,1999/2000,0
1,RBL 1143,Adjacent to 16 & 18 South Bay Road,Residential R3,0.1925 ha,0.9,10.0,October 1999,1999/2000,0
2,Lot 673 in DD Peng Chau,"Site No 2, Tung Wan, Peng Chau",Residential R3,0.1050 ha,0.6,0.5,April 1999,1999/2000,0
3,Lot 1848 in DD Cheung Chau,"Shui Hang, Cheung Chau",Residential R4,1.0700 ha,0.4,2.0,April 1999,1999/2000,0
4,Lot 1847 in DD Cheung Chau,"Site 1, Sai Wan, Cheung Chau",Residential R4,0.2130 ha,0.4,1.0,April 1999,1999/2000,0
5,Lot 736 in DD 332,"Cheung Sha, Lantau Island",Residential R4,0.3380 ha,0.4,1.0,April 1999,1999/2000,0
6,Lot 735 in DD 332,"Cheung Sha, Lantau Island",Residential R4,0.2270 ha,0.4,1.0,April 1999,1999/2000,0
7,Lot 943 in DD 94,"Beas Stable Married Quarters, Sheung Shui",Residential R4,2.2600 ha,0.4,20.0,December 1999,1999/2000,0
8,Lot 1588 in DD 243,"Pik Sha Road, Pik Sha Wan, Clear Water Bay",Residential R4,0.7740 ha,0.4,5.0,October 1999,1999/2000,0
9,Lot 14 in DD 231,"Chuk Kok, Sai Kung",Residential R4,0.2760 ha,0.4,5.0,August 1999,1999/2000,0
10,TMTL 419,"Area 58, Tuen Mun",Residential R3,1.9400 ha,1.3,30.0,April 1999,1999/2000,0
11,TMTL 371,"Area 58, Tuen Mun",Residential R3,1.6575 ha,1.33,20.0,April 1999,1999/2000,0
12,TMTL 449,"Area 58, Tuen Mun",Residential R3,1.6800 ha,1.33,20.0,April 1999,1999/2000,0
13,TPTL 167,"Cathay Bungalow, Tai Po Kau",Residential R3,0.2590 ha,0.48,2.0,April 1999,1999/2000,0
14,TPTL 165,"Area 38, Tai Po",Residential R3,1.4778 ha,0.6,20.0,June 1999,1999/2000,0
15,TWTL 395,"Area 40, Route Twisk (Site A)",Residential R3,2.5640 ha,3,50.0,March 2000,1999/2000,0
16,Pending,"Area 40, Route Twisk (Site B)",Residential R3,0.6960 ha,3,30.0,March 2000,1999/2000,0
17,IL 8920,"Government Supplies Depot, Oil Street",Commercial / Residential,1.1700 ha,10.55,50.0,February 2000,1999/2000,0
18,Lot 1002 in DD 40,"Site 14, Sha Tau Kok",Residential R1,0.3235 ha,3.6,5.0,April 1999,1999/2000,0
19,NKIL 6277,"Kowloon Tsai Military Quarters Site, Kowloon Tong",Residential R3,4.1000 ha,1.8,50.0,April 1999,1999/2000,0
20,TCTL 11,"Area 3, Tung Chung New Town",Commercial,1.4900 ha,3,10.0,June 1999,1999/2000,0
21,NKIL 6269,"J/O Wai Yip Street/Shun Yip Street/Hoi Bun Road, Kwun Tong",Commercial and Multi-storey Carpark,0.7166 ha,12,20.0,April 1999,1999/2000,0
22,NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial and Multi-storey Carpark,0.4870 ha,12,20.0,April 1999,1999/2000,0
23,KIL 11103,Hung Hom Bay Reclamation,Commercial and Multi-storey Carpark,0.9940 ha,12,50.0,September 1999,1999/2000,0
24,KIL 11110,Hung Hom Bay Reclamation,Hotel,2.0200 ha,5.28,50.0,April 1999,1999/2000,0
25,TWTL 393,"Site C, Area 35, Tsuen Wan",Hotel,1.1500 ha,9.5,30.0,October 1999,1999/2000,0
26,TSWTL 26,"Area 108a, Tin Shui Wai",Commercial,0.6500 ha,4,5.0,May 1999,1999/2000,0
27,NKIL 6280,"J/O Wang Mau Street/Wang Tai Road/Sheung Yee Road, Kowloon Bay",Industrial/ Office,0.5493 ha,12,10.0,April 1999,1999/2000,0
28,TYTL 158,"Tsing Keung Street, South Tsing Yi",Industrial/ Godown,1.9300 ha,2.5,10.0,August 1999,1999/2000,0
29,KCTL 478,"Wing Kin Road, Kwai Chung",Industrial/ Godown and Multi-storey Carpark,0.3707 ha,9.5,5.0,April 1999,1999/2000,0
30,Lot 1142 in DD 215,"Hong Tsuen Road, Sai Kung Tuk, Area 3, Sai Kung",Industrial/ Godown and Vehicle Repair Workshop,0.2400 ha,5,1.0,April 1999,1999/2000,0
31,YLTL 458,Tung Tau Industrial Area,Industrial/ Godown,0.4550 ha,9.5,5.0,December 1999,1999/2000,0
32,IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Commercial/Residential,1.4667 ha,Portion A: 10.55; Portion B: see Note 2,50.0,April 2001,2001/2002,1
