Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
FSSTL 177,"Area 19, Sha Tau Kok Road, Fanling",Commercial / Residential,0.8895 ha,5/9.5,50,Apr-1999,1999/2000,0
RBL 1143,Adjacent to 16 & 18 South Bay Road,Residential R3,0.1925 ha,0.9,10,Oct-1999,1999/2000,0
Lot 673 in DD Peng Chau,"Site No 2, Tung Wan, Peng Chau",Residential R3,0.1050 ha,0.6,0.5,Apr-1999,1999/2000,0
Lot 1848 in DD Cheung Chau,"Shui Hang, Cheung Chau",Residential R4,1.0700 ha,0.4,2,Apr-1999,1999/2000,0
Lot 1847 in DD Cheung Chau,"Site 1, Sai Wan, Cheung Chau",Residential R4,0.2130 ha,0.4,1,Apr-1999,1999/2000,0
Lot 736 in DD 332,"Cheung Sha, Lantau Island",Residential R4,0.3380 ha,0.4,1,Apr-1999,1999/2000,0
Lot 735 in DD 332,"Cheung Sha, Lantau Island",Residential R4,0.2270 ha,0.4,1,Apr-1999,1999/2000,0
Lot 943 in DD 94,"Beas Stable Married Quarters, Sheung Shui",Residential R4,2.2600 ha,0.4,20,Dec-1999,1999/2000,0
Lot 1588 in DD 243,"Pik Sha Road, Pik Sha Wan, Clear Water Bay",Residential R4,0.7740 ha,0.4,5,Oct-1999,1999/2000,0
Lot 14 in DD 231,"Chuk Kok, Sai Kung",Residential R4,0.2760 ha,0.4,5,Aug-1999,1999/2000,0
TMTL 419,"Area 58, Tuen Mun",Residential R3,1.9400 ha,1.3,30,Apr-1999,1999/2000,0
TMTL 371,"Area 58, Tuen Mun",Residential R3,1.6575 ha,1.33,20,Apr-1999,1999/2000,0
TMTL 449,"Area 58, Tuen Mun",Residential R3,1.6800 ha,1.33,20,Apr-1999,1999/2000,0
TPTL 167,"Cathay Bungalow, Tai Po Kau",Residential R3,0.2590 ha,0.48,2,Apr-1999,1999/2000,0
TPTL 165,"Area 38, Tai Po",Residential R3,1.4778 ha,0.6,20,Jun-1999,1999/2000,0
TWTL 395,"Area 40, Route Twisk (Site A)",Residential R3,2.5640 ha,3,50,Mar-2000,1999/2000,0
Pending,"Area 40, Route Twisk (Site B)",Residential R3,0.6960 ha,3,30,Mar-2000,1999/2000,0
IL 8920,"Government Supplies Depot, Oil Street",Commercial / Residential,1.1700 ha,10.55,50,Feb-2000,1999/2000,0
