financial_year,award_date,sale_type,lot_number,location,use,use_category_normalized,site_area_sqm,premium_hkd_m,cancelled,parse_confidence,development_english_name,development_address_english,csdi_lot_number,num_bids,successful_tenderer,other_bidders,latitude,longitude,sale_regime,sale_regime_source,parent_developer,max_gfa,gfa_unit,accommodation_value,av_unit,premium_crosscheck_ok,source_url,note,buyer_normalized,buyer_type,winner_source,maxgfa_source,devm_name_source,gfa_check,min_flat_count,flat_size_restriction,flat_req_special,flat_req_source,flat_req_confidence,consent_development,consent_developer,consent_status,consent_date
1985-1986,18/04/1985,auction,STTL 275,SHATIN AREA 14B,IG,industrial,4915,12.1,,high,,,SHA TIN TOWN LOT NO. 275,N.A.,N.A.,N.A. | N.A. | N.A.,22.38299072,114.2056753,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,18/04/1985,auction,IL 8571,QUEENSWAY (V.B.PACK NO.1),C/R,commercial_residential_mixed,10690,701.28,,high,,,INLAND LOT NO. 8571,N.A.,N.A.,N.A. | N.A. | N.A.,22.27760603,114.1658613,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Pacific Place Phase I,APPROVAL OF DEED OF MUTUAL COVENANT | APPROVAL OF MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1985-1986,18/04/1985,auction,STTL 194,SHATIN AREA 41A,R3,residential,11710,45.5,,high,,,SHA TIN TOWN LOT NO. 194,N.A.,N.A.,N.A. | N.A. | N.A.,22.39291749,114.1874303,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,18/04/1985,auction,STTL 225,SHATIN AREA 41A,R3,residential,9515,27,,high,,,SHA TIN TOWN LOT NO. 225,N.A.,N.A.,N.A. | N.A. | N.A.,22.39133708,114.1884401,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,18/04/1985,auction,STTL 252,SHATIN AREA 41A,R4,residential,960,1.8,,high,,,SHA TIN TOWN LOT NO. 252,N.A.,N.A.,N.A. | N.A. | N.A.,22.39488605,114.1886735,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,20/05/1985,auction,IL 8633,"HARBOUR RD, WANCHAI",C,commercial,3429,302,,high,,,INLAND LOT NO. 8633,N.A.,N.A.,N.A. | N.A. | N.A.,22.28018005,114.1716443,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,20/05/1985,auction,IL 8678,"SAI NING ST, KENNEDY TOWN",C/R,commercial_residential_mixed,680,25.5,,high,,,INLAND LOT NO. 8678,N.A.,N.A.,N.A. | N.A. | N.A.,22.28134446,114.1208473,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,20/05/1985,auction,IL 8621,"SAI NING ST, KENNEDY TOWN",IG,industrial,500,9,,high,,,INLAND LOT NO. 8621,N.A.,N.A.,N.A. | N.A. | N.A.,22.28175127,114.1221085,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,20/05/1985,auction,IL 8628,MOORSOM RD,R3,residential,2243,51,,high,,,INLAND LOT NO. 8628,N.A.,N.A.,N.A. | N.A. | N.A.,22.2705074,114.1940479,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,20/05/1985,auction,STTL 247,SHATIN AREA 14B,IG,industrial,3371,9.2,,high,,,SHA TIN TOWN LOT NO. 247,N.A.,N.A.,N.A. | N.A. | N.A.,22.38234917,114.2077532,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,20/05/1985,auction,STTL 279,SHATIN AREA 41A,R3,residential,39440,138,,high,,,SHA TIN TOWN LOT NO. 279,N.A.,N.A.,N.A. | N.A. | N.A.,22.39127398,114.1866145,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Greenwood Terrace,,Named development,N.A.
1985-1986,24/09/1985,auction,NKIL 5972,KOWLOON BAY,IG,industrial,1496,14.9,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,24/09/1985,auction,NKIL 6012,21 POPLAR ST,C/R,commercial_residential_mixed,115,2.8,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,24/09/1985,auction,KIL 10751,121 TAI NAM ST,C/R,commercial_residential_mixed,83,1.6,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,24/09/1985,auction,CWIL 124,KUT SHING ST/CHEUNG LEE ST,IG,industrial,673,7.1,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,24/09/1985,auction,SOIL 95,SHEK O,R1,residential,91,0.5,,high,,,SHEK O INLAND LOT NO. 95,N.A.,N.A.,N.A. | N.A. | N.A.,22.23028622,114.252368,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,24/09/1985,auction,TMTL 235,TUEN MUN AREA 11,C/R,commercial_residential_mixed,3552,30,,high,,,TUEN MUN TOWN LOT NO. 235,N.A.,N.A.,N.A. | N.A. | N.A.,22.39404864,113.9762231,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,24/10/1985,auction,KIL 10722,CANTON RD/PEKING RD,C/R,commercial_residential_mixed,6449,636,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,"15/F., Lippo Sun Plaza | Lippo Sun Plaza | Lippo Sun Plaza (11/F) | Lippo Sun Plaza (12/F) | Lippo Sun Plaza (14/F) | Lippo Sun Plaza (3/F) | Lippo Sun Plaza (4/F) | Lippo Sun Plaza (6/F) | Lippo Sun Plaza (7/F) | Lippo Sun Plaza (8/F)",APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1985-1986,19/11/1985,auction,CWIL 126,"KA YIP ST, CHAI WAN",IG,industrial,1400,12.5,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,12/12/1985,auction,CWIL 128,KUT SHING ST/CHEUNG LEE ST,I,industrial,1521,14.7,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,12/12/1985,auction,IL 8634,3-5 KENNEDY RD,R1,residential,801,55,,high,,,INLAND LOT NO. 8634,N.A.,N.A.,N.A. | N.A. | N.A.,22.27645846,114.1583804,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
