Original,Clean,Source
5352 in DD 51) FSSTL 34 (LOT,FSSTL34,landsale.csv
ABERDEEN 3 INLAND LOT NO. 465,AIL465,landsale.csv
ABERDEEN INLAND LOT NO. 462,AIL462,landsale.csv
AIL 421,AIL421,landsale.csv
AIL 422,AIL422,landsale.csv
AIL 423,AIL423,landsale.csv
AIL 435,AIL435,landsale.csv
AIL 436,AIL436,landsale.csv
AIL 450,AIL450,landsale.csv
AIL 451,AIL451,ALS_Concat_Cleaned.csv & landsale.csv
AIL 457,AIL457,landsale.csv
AIL 458,AIL458,landsale.csv
AIL 460,AIL460,landsale.csv
AP LEI CHAU AP INLAND LOT NO. 137,APIL137,landsale.csv
AP LEI CHAU INLAND LOT NO. 136,APIL136,landsale.csv
ApIIL 135,APIL135,ALS_Concat_Cleaned.csv
APIL 122,APIL122,landsale.csv
APIL 124,APIL124,landsale.csv
APIL 125,APIL125,landsale.csv
APIL 129,APIL129,landsale.csv
APIL 130,APIL130,landsale.csv
AplIL 128,APIL128,landsale.csv
AplIL 135,APIL135,landsale.csv
CHAI WAN INLAND LOT NO. 185,CWIL185,landsale.csv
CWIL 103,CWIL103,landsale.csv
CWIL 124,CWIL124,landsale.csv
CWIL 126,CWIL126,landsale.csv
CWIL 128,CWIL128,landsale.csv
CWIL 131,CWIL131,landsale.csv
CWIL 132,CWIL132,landsale.csv
CWIL 134,CWIL134,landsale.csv
CWIL 138,CWIL138,landsale.csv
CWIL 139,CWIL139,landsale.csv
CWIL 144,CWIL144,landsale.csv
CWIL 146,CWIL146,landsale.csv
CWIL 148,CWIL148,landsale.csv
CWIL 149,CWIL149,landsale.csv
CWIL 152,CWIL152,landsale.csv
CWIL 154,CWIL154,landsale.csv
CWIL 156,CWIL156,landsale.csv
CWIL 165,CWIL165,ALS_Concat_Cleaned.csv
CWIL 171,CWIL171,landsale.csv
CWIL 175,CWIL175,ALS_Concat_Cleaned.csv
FANLING SHEUNG SHUI TOWN LOT NO. 245,FSSTL245,landsale.csv
FANLING SHEUNG SHUI TOWN LOT NO. 247,FSSTL247,landsale.csv
FANLING SHEUNG SHUI TOWN LOT NO. 255,FSSTL255,landsale.csv
FANLING SHEUNG SHUI TOWN LOT NO. 260,FSSTL260,landsale.csv
FANLING SHEUNG SHUI TOWN LOT NO. 267,FSSTL267,landsale.csv
FANLING SHEUNG SHUI TOWN LOT NO. 268 ON,FSSTL268,landsale.csv
FANLING SHEUNG SHUI TOWN LOT NO. 270,FSSTL270,landsale.csv
FANLING SHEUNG SHUI TOWN LOT NO. 278,FSSTL278,landsale.csv
FANLING SHEUNG SHUI TOWN LOT NO. 279,FSSTL279,landsale.csv
FANLING SHEUNG TOWN LOT NO. 273,FSSTL273,landsale.csv
FSSTL 1 (LOT 5388 in DD 51),FSSTL1,landsale.csv
FSSTL 100,FSSTL100,landsale.csv
FSSTL 112,FSSTL112,landsale.csv
FSSTL 113,FSSTL113,landsale.csv
FSSTL 116,FSSTL116,landsale.csv
FSSTL 117,FSSTL117,landsale.csv
FSSTL 125,FSSTL125,landsale.csv
FSSTL 126,FSSTL126,landsale.csv
FSSTL 127,FSSTL127,landsale.csv
FSSTL 132,FSSTL132,landsale.csv
FSSTL 147,FSSTL147,landsale.csv
FSSTL 148,FSSTL148,landsale.csv
FSSTL 149,FSSTL149,landsale.csv
FSSTL 163,FSSTL163,landsale.csv
FSSTL 17,FSSTL17,landsale.csv
FSSTL 177,FSSTL177,ALS_Concat_Cleaned.csv & landsale.csv
FSSTL 183,FSSTL183,landsale.csv
FSSTL 185,FSSTL185,landsale.csv
FSSTL 186,FSSTL186,landsale.csv
FSSTL 195,FSSTL195,landsale.csv
FSSTL 20,FSSTL20,landsale.csv
FSSTL 202,FSSTL202,ALS_Concat_Cleaned.csv & landsale.csv
FSSTL 225,FSSTL225,ALS_Concat_Cleaned.csv & landsale.csv
FSSTL 235,FSSTL235,landsale.csv
FSSTL 237,FSSTL237,landsale.csv
FSSTL 29 (LOT 5355 DD 51),FSSTL29,landsale.csv
FSSTL 3 (LOT 5345 in 51),FSSTL3,landsale.csv
FSSTL 30 (LOT 5335 in DD 51),FSSTL30,landsale.csv
FSSTL 33 (LOT 2309 DD 83),FSSTL33,landsale.csv
FSSTL 35,FSSTL35,landsale.csv
FSSTL 37 (LOT 5349 in 51),FSSTL37,landsale.csv
FSSTL 38,FSSTL38,landsale.csv
FSSTL 45,FSSTL45,landsale.csv
FSSTL 46,FSSTL46,landsale.csv
FSSTL 48,FSSTL48,landsale.csv
FSSTL 49,FSSTL49,landsale.csv
FSSTL 50,FSSTL50,landsale.csv
FSSTL 51,FSSTL51,landsale.csv
FSSTL 52,FSSTL52,landsale.csv
FSSTL 53,FSSTL53,landsale.csv
FSSTL 54,FSSTL54,landsale.csv
FSSTL 55 in DD 91,FSSTL55,landsale.csv
FSSTL 56 in DD 91,FSSTL56,landsale.csv
FSSTL 57-DD 91,FSSTL57,landsale.csv
FSSTL 69,FSSTL69,landsale.csv
FSSTL 71,FSSTL71,landsale.csv
FSSTL 80,FSSTL80,landsale.csv
FSSTL 82,FSSTL82,landsale.csv
FSSTL 83,FSSTL83,landsale.csv
FSSTL 93,FSSTL93,landsale.csv
FSSTL 94,FSSTL94,landsale.csv
FSSTL 95,FSSTL95,landsale.csv
FSSTL 96,FSSTL96,landsale.csv
FSSTL 97,FSSTL97,landsale.csv
FSSTL 98,FSSTL98,landsale.csv
FSSTL 99,FSSTL99,landsale.csv
FSSTL129,FSSTL129,landsale.csv
FSSTL14 (LOT 5334 in DD 51),FSSTL14,landsale.csv
HHIL 545,HHIL545,landsale.csv
HHIL 550,HHIL550,landsale.csv
HHIL 555,HHIL555,ALS_Concat_Cleaned.csv & landsale.csv
HHIL 556,HHIL556,ALS_Concat_Cleaned.csv & landsale.csv
IL 8571,IL8571,landsale.csv
IL 8582,IL8582,landsale.csv
IL 8621,IL8621,landsale.csv
IL 8628,IL8628,landsale.csv
IL 8633,IL8633,landsale.csv
IL 8634,IL8634,landsale.csv
IL 8638,IL8638,landsale.csv
IL 8642,IL8642,landsale.csv
IL 8643,IL8643,landsale.csv
IL 8651,IL8651,landsale.csv
IL 8653,IL8653,landsale.csv
IL 8655,IL8655,landsale.csv
IL 8656,IL8656,landsale.csv
IL 8657,IL8657,landsale.csv
IL 8658,IL8658,landsale.csv
IL 8667,IL8667,landsale.csv
IL 8678,IL8678,landsale.csv
IL 8681,IL8681,landsale.csv
IL 8682,IL8682,landsale.csv
IL 8687,IL8687,landsale.csv
IL 8688,IL8688,landsale.csv
IL 8690,IL8690,landsale.csv
IL 8694,IL8694,landsale.csv
IL 8734,IL8734,landsale.csv
IL 8740,IL8740,landsale.csv
IL 8781,IL8781,landsale.csv
IL 8799,IL8799,landsale.csv
IL 8800,IL8800,landsale.csv
IL 8822,IL8822,landsale.csv
IL 8823,IL8823,landsale.csv
IL 8828,IL8828,landsale.csv
IL 8868,IL8868,landsale.csv
IL 8870,IL8870,landsale.csv
IL 8871,IL8871,landsale.csv
IL 8872,IL8872,ALS_Concat_Cleaned.csv
IL 8874,IL8874,landsale.csv
IL 8882,IL8882,landsale.csv
IL 8888,IL8888,landsale.csv
IL 8914,IL8914,ALS_Concat_Cleaned.csv
IL 8920,IL8920,ALS_Concat_Cleaned.csv & landsale.csv
IL 8930,IL8930,landsale.csv
IL 8941,IL8941,ALS_Concat_Cleaned.csv
IL 8947,IL8947,ALS_Concat_Cleaned.csv
IL 8949,IL8949,ALS_Concat_Cleaned.csv & landsale.csv
IL 8955,IL8955,landsale.csv
IL 8963,IL8963,ALS_Concat_Cleaned.csv & landsale.csv
IL 8970,IL8970,ALS_Concat_Cleaned.csv & landsale.csv
IL 8984,IL8984,landsale.csv
IL 8985,IL8985,landsale.csv
IL 8986,IL8986,landsale.csv
IL 8988,IL8988,landsale.csv
IL 8989,IL8989,landsale.csv
IL 8994,IL8994,landsale.csv
IL 8998,IL8998,ALS_Concat_Cleaned.csv
