,OBJECTID,DATASET_EN,ADDRESS_EN,SEARCH01_EN,SEARCH02_EN,NSEARCH01_EN,NSEARCH02_EN,NSEARCH03_EN,NSEARCH04_EN,NSEARCH05_EN,NSEARCH06_EN,NSEARCH07_EN,NSEARCH08_EN,NSEARCH09_EN,NSEARCH10_EN,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing,max_item
0,1,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"15 Sheung Yuet Road, Kowloon 2.8.0/(26)",2025,KOWLOON & NEW TERRITORIES,KN8/2025/OP,07/03/2025,Commercial,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008GR.pdf,Not applicable,Not applicable,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/KN2025008OTTV.pdf,820347.8,839671.6,22.322139999999997,114.20991,2026-04-23T10:11:22,839671.5999999996,820347.8000000007,True
1,2,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"101 King's Road, Hong Kong. 1.5.1/(11)",2025,HONG KONG ISLAND,HK53/2025/OP,31/10/2025,Apartment/Commercial with residents' recreational facilities Commercial,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053EN.pdf,Provisional Assessment Rating : Bronze (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025053OTTV.pdf,816469.6,837884.5,22.28712,114.19256,2026-04-23T10:10:57,837884.5,816469.5999999996,True
2,3,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"18 Ap Lei Chau Praya Road, Hong Kong 1.7.4/(9) , 1.7.4/(12) & 1.7.4/(13)",2025,HONG KONG ISLAND,HK49/2025/OP,14/10/2025,Apartment with residents' recreational facilities,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049EN.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025049OTTV.pdf,811385.00814182,834384.15538807,22.24120256,114.15859996,2026-04-23T10:10:41,834384.1553999996,811385.0080999993,True
3,4,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"281 Gloucester Road, Hong Kong 1.4.6/(3)",2025,HONG KONG ISLAND,HK37/2025/OP,18/08/2025,Commercial,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025037EN.pdf,Provisional Assessment Rating: Platinum (as at OP),Not applicable,Not applicable,815883.7000000001,837043.6,22.28183,114.1844,2026-04-23T10:08:59,837043.5999999996,815883.6999999993,True
4,5,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"9 Eastern Street, Hong Kong 1.1.2/(20)",2025,HONG KONG ISLAND,HK34/2025/OP,09/06/2025,Apartment/Commercial with residents' recreational facilities,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025034OTTV.pdf,816511.9,832840.0,22.2875,114.14361,2026-04-23T10:08:31,832840.0,816511.9000000004,True
5,6,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"38 Spring Garden Lane, Hong Kong 1.3.1/(32)",2025,HONG KONG ISLAND,HK31/2025/OP,09/05/2025,Apartment/Commercial with residents' recreational facilities,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025031OTTV.pdf,815125.2000000001,835824.4,22.27498,114.17257,2026-04-23T10:03:38,835824.4000000004,815125.1999999993,True
6,7,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"45 Island Road, Hong Kong 1.9.1/(6)",2025,HONG KONG ISLAND,HK6/2025/OP,28/01/2025,Caretaker office with disabled toilet,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025006GFACe.pdf,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,811332.20936469,837455.18386259,22.24072637,114.18839065,2026-04-23T10:03:08,837455.1838999996,811332.2094,True
7,8,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"135 Tai Hang Road, Hong Kong 1.4.9/(20)",2025,HONG KONG ISLAND,HK28/2025/OP,07/05/2025,Apartment with residents' recreational facilities Plant room,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028EN.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025028OTTV.pdf,814747.25190043,837869.8310679,22.27156613,114.19241637,2026-04-23T10:02:17,837869.8311000001,814747.2519000005,True
8,9,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"33 Kennedy Road, Hong Kong 1.3.1/(60)",2025,HONG KONG ISLAND,HK22/2025/OP,25/03/2025,Apartment with residents' recreational facilities,Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022GFACe.pdf,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022EN.pdf,Provisional Assessment Rating: Unclassified (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/2025/HK2025022OTTV.pdf,814990.1,835777.0,22.27376,114.17211,2026-04-23T10:01:19,835777.0,814990.0999999996,True
9,10,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"32 Plantation Road, Hong Kong 1.8.2/(10)",2022,HONG KONG ISLAND,HK48/2022/OP,05/10/2022,Vertical lifting platform and plant rooms,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048EN.pdf,Not applicable,Not applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2022048OTTV.pdf,814296.64806281,833931.83523348,22.26749606,114.15420797,2026-04-23T10:00:41,833931.8351999996,814296.6480999999,True
